org_id;org_name;legal_form;polactive_start_date;polactive_end_date;seat_location;zipcode;region_abb;country_abb;longitude;latitude;ig_type;policy_area;address_raw;GAVA_assoc_id;GAVA_assoc_name;GAVA_assoc_aggregate_name;GAVA_assoc_legal_form;GAVA_assoc_general;GAVA_assoc_ig_type;GAVA_assoc_ig_type_name;GAVA_assoc_ig_code;GAVA_assoc_ig_code_name;GAVA_level;GAVA_category;GAVA_topic;GAVA_topic_business;NCCR_nqid;NCCR_A4 Organisation;GK_interest_group;GK_canton_ig_raw;GK_type;GK_policy_code
CH_bpp7vCg3/2hh;Edouard Brun & Cie SA;AG;2002;2005;Genève;1200;GE;CH;6,14139354;46,20577413;;;;1484;Edouard Brun & Cie SA;Edouard Brun & Cie SA;11;Societe;20;Business groups;26;Private firm/company;98;NA;14;98;NA;NA;Edouard Brun & Cie SA;GE;comp;15
CH_vii8QC+/v+xT;Fondation des terrains industriels Praille-Acacias (FIPA), Genève;Stift.;1987;1997;Genève;1200;GE;CH;6,14139354;46,20577413;80;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FIPA (Fondation des terrains industriels Praille et Acacias);GE;comp;1
CH_MGgKpG+fugx4;Fondation de bienfaisance Valeria Rossi di Montelera;Stift.;2001;2005;Genève;1200;GE;CH;6,14139354;46,20577413;;;;1897;Fondation de bienfaisance Valeria Rossi di Montelera;Fondation de bienfaisance Valeria Rossi di Montelera;20;Fondation;80;Public interest groups;86;Family foundations and catch-all foundations;2;Regional/Cantonal;13;98;NA;NA;Fondation de bienfaisance V-Rossi di Montelera;GE;ngo;13
CH_vHc9FD9UEpOo;Fondation du Palais des expositions;Stift.;1987;1997;Le Grand-Saconnex;1218;GE;CH;6,118976671;46,23577998;80;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Fondation du Palais des expositions;GE;comp;15
CH_Y+znNQJ91uIr;Fondation Moncalme (bienfaisance personnes âgées);Stift.;2002;2005;Lausanne;1007;VD;CH;6,63233;46,519595;80;;;1965;Fondation Moncalme (bienfaisance personnes âgées);Fondation Moncalme (bienfaisance personnes âgées);20;Fondation;20;Business groups;28;Hospitals;2;Regional/Cantonal;13;98;NA;NA;Fondation Moncalme (bienfaisance personnes âgées);NA;ngo;13
CH_X+yNAsCPVQl2;Geneva Foundation;Stift.;2001;2005;Genève;1200;GE;CH;6,14139354;46,20577413;80;;;2246;Geneva Foundation;Geneva Foundation;20;Fondation;40;Occupational associations;45;Universities (Researchers, Academics);2;Regional/Cantonal;3;98;NA;NA;Geneva Foundation;GE;ngo;3
CH_Tk+h6rSvmRtP;Office pour la promotion de l'industrie genevoise (OPI);Stift.;1987;1997;Genève;1200;GE;CH;6,14139354;46,20577413;21;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Office pour la promotion de l'industrie genevoise;GE;business;1
CH_KXH2rRdw2Loo;SA de la Colline Champel;AG;2005;2005;Genève;1200;GE;CH;6,14139354;46,20577413;26;;;4316;SA de la Colline Champel (Clinique la Colline);SA de la Colline Champel (Clinique la Colline);11;Societe;20;Business groups;28;Hospitals;98;NA;3;NA;NA;NA;SA de la Colline Champel (Clinique la Colline);GE;comp;3
CH_YtMndk52h3az;SI Cerisiers-Lac SA, Genève;AG;1985;1985;Genève;1200;GE;CH;6,14139354;46,20577413;26;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;SIG, Geneve;GE;comp;8
CH_yDVmh6w9YE3O;Swissair AG, Zürich;AG;1985;2001;Zürich;8000;ZH;CH;8,475219;47,360508;;;;5633;Swissaid;Swissaid;20;Fondation;80;Public interest groups;82;Humanitarian - international;3;National;19;NA;NA;NA;Swissair;ZH;comp;10
CH_iV+3kIGgzg71;TAG Aviation Holding SA, Genève;AG;1999;2002;Genève;1200;GE;CH;6,14139354;46,20577413;26;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;TAG Aviation Holding S.A., Genève;GE;comp;10
CH_Aw78KOgzMiar;TAG Aviation SA, Genève;AG;2000;2002;Genève;1200;GE;CH;6,14139354;46,20577413;;;;5722;TAT Express (Suisse) SA Genève;TAT Express (Suisse) SA Genève;11;Societe;20;Business groups;26;Private firm/company;98;NA;10;98;NA;NA;TAG Aviation S.A., Genève;GE;comp;10
