comm_id;parliament_id;comm_name;comm_maintype;comm_subtype;comm_maintype_abb;comm_subtype_abb;seats;comm_start;comm_end
CH_NT-NR_1991__CO|GPK--SC|Leistung;CH_NT-NR_1991;Vertikale Sektion 3 (Leistung) der Geschäftsprüfungskommission (GPK) ;CO;SC;GPK;Leistung;"6;7";24aug1992;06oct1995
CH_NT-NR_1991__CO|GPK--SC|Mittel;CH_NT-NR_1991;Horizontale Sektion 3 (Mittel) der Geschäftsprüfungskommission (GPK) ;CO;SC;GPK;Mittel;6;24aug1992;06oct1995
CH_NT-NR_1991__CO|GPK--SC|Staat;CH_NT-NR_1991;Vertikale Sektion 1 (Staat) der Geschäftsprüfungskommission (GPK) ;CO;SC;GPK;Staat;"6;7";24aug1992;06oct1995
CH_NT-NR_1991__CO|GPK--SC|Wirkung;CH_NT-NR_1991;Horizontale Sektion 4 (Wirkung) der Geschäftsprüfungskommission (GPK) ;CO;SC;GPK;Wirkung;5;24aug1992;06oct1995
CH_NT-NR_1991__CO|GPK--SC|Wirtschaft;CH_NT-NR_1991;Vertikale Sektion 2 (Wirtschaft) der Geschäftsprüfungskommission (GPK) ;CO;SC;GPK;Wirtschaft;7;24aug1992;06oct1995
CH_NT-NR_1991__CO|GPK--SD|GPDel;CH_NT-NR_1991;Geschäftsprüfungsdelegation ;CO;SD;GPK;GPDel;3;24aug1992;19mar1993
CH_NT-NR_1991__CO|KoeB;CH_NT-NR_1991;Kommission für öffentliche Bauten (KöB) ;CO;NA;KoeB;NA;11;25nov1991;06oct1995
CH_NT-NR_1991__CO|KVF;CH_NT-NR_1991;Kommission für Verkehr und Fernmeldewesen (KVF) ;CO;NA;KVF;NA;25;25nov1991;06oct1995
CH_NT-NR_1991__CO|RK;CH_NT-NR_1991;Kommission für Rechtsfragen (RK) ;CO;NA;RK;NA;25;25nov1991;06oct1995
CH_NT-NR_1991__CO|SGK;CH_NT-NR_1991;Kommission für soziale Sicherheit und Gesundheit (SGK) ;CO;NA;SGK;NA;25;25nov1991;06oct1995
CH_NT-NR_1991__CO|SiK;CH_NT-NR_1991;Sicherheitspolitische Kommission (SiK) ;CO;NA;SiK;NA;25;25nov1991;06oct1995
CH_NT-NR_1991__CO|SPK;CH_NT-NR_1991;Staatspolitische Kommission (SPK) ;CO;NA;SPK;NA;25;25nov1991;06oct1995
CH_NT-NR_1991__CO|UREK;CH_NT-NR_1991;Kommission für Umwelt, Raumplanung und Energie (UREK) ;CO;NA;UREK;NA;25;25nov1991;06oct1995
CH_NT-NR_1991__CO|WAK;CH_NT-NR_1991;Kommission für Wirtschaft und Abgaben (WAK) ;CO;NA;WAK;NA;25;25nov1991;06oct1995
CH_NT-NR_1991__CO|WBK;CH_NT-NR_1991;Kommission für Wissenschaft, Bildung und Kultur (WBK) ;CO;NA;WBK;NA;25;25nov1991;06oct1995
CH_NT-SR_1947__CO|AAK;CH_NT-SR_1947;Kommission für auswärtige Angelegenheiten (AAK) ;CO;NA;AAK;NA;11;01dec1947;03oct1951
CH_NT-SR_1947__CO|ALK;CH_NT-SR_1947;Alkoholkommission (ALK) ;CO;NA;ALK;NA;9;01dec1947;03oct1951
CH_NT-SR_1947__CO|EBKk;CH_NT-SR_1947;Eisenbahnkonzessionskommission ;CO;NA;EBKk;NA;9;01dec1947;03oct1951
CH_NT-SR_1947__CO|FK;CH_NT-SR_1947;Finanzkommission (FK) ;CO;NA;FK;NA;"9;11";01dec1947;03oct1951
CH_NT-SR_1947__CO|GPK;CH_NT-SR_1947;Geschäftsprüfungskommission (GPK) ;CO;NA;GPK;NA;9;01dec1947;03oct1951
CH_NT-SR_1947__CO|MK;CH_NT-SR_1947;Militärkommission (MK) ;CO;NA;MK;NA;9;01dec1947;03oct1951
CH_NT-SR_1947__CO|PK;CH_NT-SR_1947;Petitionskommission (PK) ;CO;NA;PK;NA;5;01dec1947;03oct1951
CH_NT-SR_1947__CO|SBBK;CH_NT-SR_1947;Bundesbahnkommission (SBBK) ;CO;NA;SBBK;NA;9;01dec1947;03oct1951
CH_NT-SR_1947__CO|VmK;CH_NT-SR_1947;VollmachtenKommission ;CO;NA;VmK;NA;13;01dec1947;03oct1951
CH_NT-SR_1947__CO|ZtK;CH_NT-SR_1947;Zolltarifkommission ;CO;NA;ZtK;NA;15;01dec1947;03oct1951
CH_NT-SR_1951__CO|AAK;CH_NT-SR_1951;Kommission für auswärtige Angelegenheiten (AAK) ;CO;NA;AAK;NA;11;03dec1951;30sep1955
CH_NT-SR_1951__CO|ALK;CH_NT-SR_1951;Alkoholkommission (ALK) ;CO;NA;ALK;NA;9;03dec1951;30sep1955
CH_NT-SR_1951__CO|EBKk;CH_NT-SR_1951;Eisenbahnkonzessionskommission ;CO;NA;EBKk;NA;9;03dec1951;30sep1955
CH_NT-SR_1951__CO|FK;CH_NT-SR_1951;Finanzkommission (FK) ;CO;NA;FK;NA;11;03dec1951;30sep1955
CH_NT-SR_1951__CO|GPK;CH_NT-SR_1951;Geschäftsprüfungskommission (GPK) ;CO;NA;GPK;NA;9;03dec1951;30sep1955
CH_NT-SR_1951__CO|MK;CH_NT-SR_1951;Militärkommission (MK) ;CO;NA;MK;NA;9;03dec1951;30sep1955
CH_NT-SR_1951__CO|PK;CH_NT-SR_1951;Petitionskommission (PK) ;CO;NA;PK;NA;5;03dec1951;30sep1955
CH_NT-SR_1951__CO|SBBK;CH_NT-SR_1951;Bundesbahnkommission (SBBK) ;CO;NA;SBBK;NA;9;03dec1951;30sep1955
CH_NT-SR_1951__CO|VmK;CH_NT-SR_1951;VollmachtenKommission ;CO;NA;VmK;NA;13;03dec1951;01oct1952
CH_NT-SR_1951__CO|ZtK;CH_NT-SR_1951;Zolltarifkommission ;CO;NA;ZtK;NA;15;03dec1951;30sep1955
CH_NT-SR_1955__CO|AAK;CH_NT-SR_1955;Kommission für auswärtige Angelegenheiten (AAK) ;CO;NA;AAK;NA;11;05dec1955;07oct1959
CH_NT-SR_1955__CO|ALK;CH_NT-SR_1955;Alkoholkommission (ALK) ;CO;NA;ALK;NA;9;05dec1955;07oct1959
CH_NT-SR_1955__CO|EBKk;CH_NT-SR_1955;Eisenbahnkonzessionskommission ;CO;NA;EBKk;NA;9;05dec1955;07oct1959
CH_NT-SR_1955__CO|FK;CH_NT-SR_1955;Finanzkommission (FK) ;CO;NA;FK;NA;11;05dec1955;07oct1959
CH_NT-SR_1955__CO|GPK;CH_NT-SR_1955;Geschäftsprüfungskommission (GPK) ;CO;NA;GPK;NA;9;05dec1955;07oct1959
CH_NT-SR_1955__CO|MK;CH_NT-SR_1955;Militärkommission (MK) ;CO;NA;MK;NA;9;05dec1955;07oct1959
CH_NT-SR_1955__CO|PK;CH_NT-SR_1955;Petitionskommission (PK) ;CO;NA;PK;NA;5;05dec1955;07oct1959
CH_NT-SR_1955__CO|SBBK;CH_NT-SR_1955;Bundesbahnkommission (SBBK) ;CO;NA;SBBK;NA;9;05dec1955;07oct1959
CH_NT-SR_1955__CO|ZtK;CH_NT-SR_1955;Zolltarifkommission ;CO;NA;ZtK;NA;15;05dec1955;07oct1959
CH_NT-SR_1959__CO|AAK;CH_NT-SR_1959;Kommission für auswärtige Angelegenheiten (AAK) ;CO;NA;AAK;NA;11;07dec1959;04oct1963
CH_NT-SR_1959__CO|ALK;CH_NT-SR_1959;Alkoholkommission (ALK) ;CO;NA;ALK;NA;9;07dec1959;04oct1963
CH_NT-SR_1959__CO|EBKk;CH_NT-SR_1959;Eisenbahnkonzessionskommission ;CO;NA;EBKk;NA;9;07dec1959;04oct1963
CH_NT-SR_1959__CO|FK;CH_NT-SR_1959;Finanzkommission (FK) ;CO;NA;FK;NA;11;07dec1959;04oct1963
CH_NT-SR_1959__CO|GPK;CH_NT-SR_1959;Geschäftsprüfungskommission (GPK) ;CO;NA;GPK;NA;9;07dec1959;04oct1963
CH_NT-SR_1959__CO|MK;CH_NT-SR_1959;Militärkommission (MK) ;CO;NA;MK;NA;9;07dec1959;04oct1963
CH_NT-SR_1959__CO|PK;CH_NT-SR_1959;Petitionskommission (PK) ;CO;NA;PK;NA;5;07dec1959;04oct1963
CH_NT-SR_1959__CO|PTT;CH_NT-SR_1959;Kommission für die Post-, Telegraphen- und Telephonverwaltung ;CO;NA;PTT;NA;9;06mar1961;04oct1963
CH_NT-SR_1959__CO|SBBK;CH_NT-SR_1959;Bundesbahnkommission (SBBK) ;CO;NA;SBBK;NA;9;07dec1959;04oct1963
