parliament_id;leg_period_start;leg_period_end;level;country_abb;region_abb;leg_period;assembly_name;assembly_abb;coalition_parties;previous_parliament;next_parliament
DE_RE-BE_1991;11jan1991;29nov1995;RE;DE;BE;12;Abgeordnetenhaus;AH;;DE_RE-BE_1989;DE_RE-BE_1995
DE_RE-BE_1995;30nov1995;17nov1999;RE;DE;BE;13;Abgeordnetenhaus;AH;;DE_RE-BE_1991;DE_RE-BE_1999
DE_RE-BE_1999;18nov1999;28nov2001;RE;DE;BE;14;Abgeordnetenhaus;AH;;DE_RE-BE_1995;DE_RE-BE_2001
DE_RE-BE_2001;29nov2001;25oct2006;RE;DE;BE;15;Abgeordnetenhaus;AH;;DE_RE-BE_1999;DE_RE-BE_2006
DE_RE-BE_2006;26oct2006;26oct2011;RE;DE;BE;16;Abgeordnetenhaus;AH;;DE_RE-BE_2001;DE_RE-BE_2011
DE_RE-BE_2011;27oct2011;26oct2016;RE;DE;BE;17;Abgeordnetenhaus;AH;;DE_RE-BE_2006;DE_RE-BE_2016
DE_RE-BE_2016;27oct2016;2021;RE;DE;BE;17;Abgeordnetenhaus;AH;;DE_RE-BE_2011;NC
DE_RE-HB_1946;17apr1946;12oct1947;RE;DE;HB;1;Buergerschaft;BS;;NA;DE_RE-HB_1947
DE_RE-HB_1947;13oct1947;12oct1951;RE;DE;HB;2;Buergerschaft;BS;;DE_RE-HB_1946;DE_RE-HB_1951
DE_RE-HB_1951;13oct1951;12oct1955;RE;DE;HB;3;Buergerschaft;BS;;DE_RE-HB_1947;DE_RE-HB_1955
DE_RE-HB_1955;13oct1955;12oct1959;RE;DE;HB;4;Buergerschaft;BS;;DE_RE-HB_1951;DE_RE-HB_1959
DE_RE-HB_1959;13oct1959;12oct1963;RE;DE;HB;5;Buergerschaft;BS;;DE_RE-HB_1955;DE_RE-HB_1963
DE_RE-HB_1963;13oct1963;12oct1967;RE;DE;HB;6;Buergerschaft;BS;;DE_RE-HB_1959;DE_RE-HB_1967
DE_RE-HB_1967;13oct1967;12oct1971;RE;DE;HB;7;Buergerschaft;BS;;DE_RE-HB_1963;DE_RE-HB_1971
DE_RE-HB_1971;13oct1971;12oct1975;RE;DE;HB;8;Buergerschaft;BS;;DE_RE-HB_1967;DE_RE-HB_1975
DE_RE-HB_1975;13oct1975;12oct1979;RE;DE;HB;9;Buergerschaft;BS;;DE_RE-HB_1971;DE_RE-HB_1979
DE_RE-HB_1979;13oct1979;12oct1983;RE;DE;HB;10;Buergerschaft;BS;;DE_RE-HB_1975;DE_RE-HB_1983
DE_RE-HB_1983;13oct1983;12oct1987;RE;DE;HB;11;Buergerschaft;BS;;DE_RE-HB_1979;DE_RE-HB_1987
DE_RE-HB_1987;13oct1987;12oct1991;RE;DE;HB;12;Buergerschaft;BS;;DE_RE-HB_1983;DE_RE-HB_1991
DE_RE-HB_1991;13oct1991;07jun1995;RE;DE;HB;13;Buergerschaft;BS;;DE_RE-HB_1987;DE_RE-HB_1995
