list_id;list_name;parliament_id;district_id;elec_id;list_level;list_number;party_id;list_length;list_votes_total_[source];list_type;list_name_check;list_id_check
DE_NT-BT_1990__Soltau-Fallingbostel-Rotenburg-II__02dec1990__district-FDP;district-FDP;DE_NT-BT_1990;DE_NT-BT_1990__Soltau-Fallingbostel-Rotenburg-II;DE_NT-BT_1990__Soltau-Fallingbostel-Rotenburg-II__02dec1990;DE_DI;NA;DE_FDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Friesland-Wilhelmshaven__02dec1990__district-SPD;district-SPD;DE_NT-BT_1990;DE_NT-BT_1990__Friesland-Wilhelmshaven;DE_NT-BT_1990__Friesland-Wilhelmshaven__02dec1990;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1998__Friesland-Wilhelmshaven__27sep1998__district-SPD;district-SPD;DE_NT-BT_1998;DE_NT-BT_1998__Friesland-Wilhelmshaven;DE_NT-BT_1998__Friesland-Wilhelmshaven__27sep1998;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1994__Friesland-Wilhelmshaven__16oct1994__district-SPD;district-SPD;DE_NT-BT_1994;DE_NT-BT_1994__Friesland-Wilhelmshaven;DE_NT-BT_1994__Friesland-Wilhelmshaven__16oct1994;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Cloppenburg-Vechta__02dec1990__district-B90|Gru;district-B90|Gru;DE_NT-BT_1990;DE_NT-BT_1990__Cloppenburg-Vechta;DE_NT-BT_1990__Cloppenburg-Vechta__02dec1990;DE_DI;NA;DE_B90|Gru_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Osnabrueck-Land__02dec1990__district-Grau;district-Grau;DE_NT-BT_1990;DE_NT-BT_1990__Osnabrueck-Land;DE_NT-BT_1990__Osnabrueck-Land__02dec1990;DE_DI;NA;DE_Grau_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1998__Soltau-Fallingbostel-Rotenburg-II__27sep1998__district-CDU;district-CDU;DE_NT-BT_1998;DE_NT-BT_1998__Soltau-Fallingbostel-Rotenburg-II;DE_NT-BT_1998__Soltau-Fallingbostel-Rotenburg-II__27sep1998;DE_DI;NA;DE_CDU_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Soltau-Fallingbostel-Rotenburg-II__02dec1990__district-CDU;district-CDU;DE_NT-BT_1990;DE_NT-BT_1990__Soltau-Fallingbostel-Rotenburg-II;DE_NT-BT_1990__Soltau-Fallingbostel-Rotenburg-II__02dec1990;DE_DI;NA;DE_CDU_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1994__Soltau-Fallingbostel-Rotenburg-II__16oct1994__district-CDU;district-CDU;DE_NT-BT_1994;DE_NT-BT_1994__Soltau-Fallingbostel-Rotenburg-II;DE_NT-BT_1994__Soltau-Fallingbostel-Rotenburg-II__16oct1994;DE_DI;NA;DE_CDU_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1998__Hannover-Land-I__27sep1998__district-REP;district-REP;DE_NT-BT_1998;DE_NT-BT_1998__Hannover-Land-I;DE_NT-BT_1998__Hannover-Land-I__27sep1998;DE_DI;NA;DE_REP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1994__Hannover-Land-I__16oct1994__district-REP;district-REP;DE_NT-BT_1994;DE_NT-BT_1994__Hannover-Land-I;DE_NT-BT_1994__Hannover-Land-I__16oct1994;DE_DI;NA;DE_REP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1998__Stade-Rotenburg-I__27sep1998__district-REP;district-REP;DE_NT-BT_1998;DE_NT-BT_1998__Stade-Rotenburg-I;DE_NT-BT_1998__Stade-Rotenburg-I__27sep1998;DE_DI;NA;DE_REP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Hannover-Land-I__02dec1990__district-OEDP;district-OEDP;DE_NT-BT_1990;DE_NT-BT_1990__Hannover-Land-I;DE_NT-BT_1990__Hannover-Land-I__02dec1990;DE_DI;NA;DE_OEDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_2009__Mittelems__27sep2009__district-B90|Gru;district-B90|Gru;DE_NT-BT_2009;DE_NT-BT_2009__Mittelems;DE_NT-BT_2009__Mittelems__27sep2009;DE_DI;NA;DE_B90|Gru_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1998__Goslar__27sep1998__district-SPD;district-SPD;DE_NT-BT_1998;DE_NT-BT_1998__Goslar;DE_NT-BT_1998__Goslar__27sep1998;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1994__Goslar__16oct1994__district-SPD;district-SPD;DE_NT-BT_1994;DE_NT-BT_1994__Goslar;DE_NT-BT_1994__Goslar__16oct1994;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Goslar__02dec1990__district-SPD;district-SPD;DE_NT-BT_1990;DE_NT-BT_1990__Goslar;DE_NT-BT_1990__Goslar__02dec1990;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1998__Diepholz__27sep1998__district-SPD;district-SPD;DE_NT-BT_1998;DE_NT-BT_1998__Diepholz;DE_NT-BT_1998__Diepholz__27sep1998;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Diepholz__02dec1990__district-SPD;district-SPD;DE_NT-BT_1990;DE_NT-BT_1990__Diepholz;DE_NT-BT_1990__Diepholz__02dec1990;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1994__Diepholz__16oct1994__district-SPD;district-SPD;DE_NT-BT_1994;DE_NT-BT_1994__Diepholz;DE_NT-BT_1994__Diepholz__16oct1994;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1998__Soltau-Fallingbostel-Rotenburg-II__27sep1998__district-SPD;district-SPD;DE_NT-BT_1998;DE_NT-BT_1998__Soltau-Fallingbostel-Rotenburg-II;DE_NT-BT_1998__Soltau-Fallingbostel-Rotenburg-II__27sep1998;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Soltau-Fallingbostel-Rotenburg-II__02dec1990__district-SPD;district-SPD;DE_NT-BT_1990;DE_NT-BT_1990__Soltau-Fallingbostel-Rotenburg-II;DE_NT-BT_1990__Soltau-Fallingbostel-Rotenburg-II__02dec1990;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1994__Soltau-Fallingbostel-Rotenburg-II__16oct1994__district-SPD;district-SPD;DE_NT-BT_1994;DE_NT-BT_1994__Soltau-Fallingbostel-Rotenburg-II;DE_NT-BT_1994__Soltau-Fallingbostel-Rotenburg-II__16oct1994;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Celle-Uelzen__02dec1990__district-REP;district-REP;DE_NT-BT_1990;DE_NT-BT_1990__Celle-Uelzen;DE_NT-BT_1990__Celle-Uelzen__02dec1990;DE_DI;NA;DE_REP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1994__Celle-Uelzen__16oct1994__district-REP;district-REP;DE_NT-BT_1994;DE_NT-BT_1994__Celle-Uelzen;DE_NT-BT_1994__Celle-Uelzen__16oct1994;DE_DI;NA;DE_REP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Soltau-Fallingbostel-Rotenburg-II__02dec1990__district-B90|Gru;district-B90|Gru;DE_NT-BT_1990;DE_NT-BT_1990__Soltau-Fallingbostel-Rotenburg-II;DE_NT-BT_1990__Soltau-Fallingbostel-Rotenburg-II__02dec1990;DE_DI;NA;DE_B90|Gru_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Mittelems__02dec1990__district-OEDP;district-OEDP;DE_NT-BT_1990;DE_NT-BT_1990__Mittelems;DE_NT-BT_1990__Mittelems__02dec1990;DE_DI;NA;DE_OEDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Osnabrueck-Land__02dec1990__district-FDP;district-FDP;DE_NT-BT_1990;DE_NT-BT_1990__Osnabrueck-Land;DE_NT-BT_1990__Osnabrueck-Land__02dec1990;DE_DI;NA;DE_FDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1998__Osnabrueck-Land__27sep1998__district-FDP;district-FDP;DE_NT-BT_1998;DE_NT-BT_1998__Osnabrueck-Land;DE_NT-BT_1998__Osnabrueck-Land__27sep1998;DE_DI;NA;DE_FDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1994__Osnabrueck-Land__16oct1994__district-FDP;district-FDP;DE_NT-BT_1994;DE_NT-BT_1994__Osnabrueck-Land;DE_NT-BT_1994__Osnabrueck-Land__16oct1994;DE_DI;NA;DE_FDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Oldenburg-Ammerland__02dec1990__district-OEDP;district-OEDP;DE_NT-BT_1990;DE_NT-BT_1990__Oldenburg-Ammerland;DE_NT-BT_1990__Oldenburg-Ammerland__02dec1990;DE_DI;NA;DE_OEDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1994__Verden-Osterholz__16oct1994__district-OEDP;district-OEDP;DE_NT-BT_1994;DE_NT-BT_1994__Verden-Osterholz;DE_NT-BT_1994__Verden-Osterholz__16oct1994;DE_DI;NA;DE_OEDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Cuxhaven__02dec1990__district-NPD;district-NPD;DE_NT-BT_1990;DE_NT-BT_1990__Cuxhaven;DE_NT-BT_1990__Cuxhaven__02dec1990;DE_DI;NA;DE_NPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_2009__Braunschweig__27sep2009__district-CDU;district-CDU;DE_NT-BT_2009;DE_NT-BT_2009__Braunschweig;DE_NT-BT_2009__Braunschweig__27sep2009;DE_DI;NA;DE_CDU_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_2005__Braunschweig__18sep2005__district-CDU;district-CDU;DE_NT-BT_2005;DE_NT-BT_2005__Braunschweig;DE_NT-BT_2005__Braunschweig__18sep2005;DE_DI;NA;DE_CDU_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_2002__Braunschweig__22sep2002__district-CDU;district-CDU;DE_NT-BT_2002;DE_NT-BT_2002__Braunschweig;DE_NT-BT_2002__Braunschweig__22sep2002;DE_DI;NA;DE_CDU_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Hannover-Land-I__02dec1990__district-FDP;district-FDP;DE_NT-BT_1990;DE_NT-BT_1990__Hannover-Land-I;DE_NT-BT_1990__Hannover-Land-I__02dec1990;DE_DI;NA;DE_FDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Salzgitter-Wolfenbuettel__02dec1990__district-Grau;district-Grau;DE_NT-BT_1990;DE_NT-BT_1990__Salzgitter-Wolfenbuettel;DE_NT-BT_1990__Salzgitter-Wolfenbuettel__02dec1990;DE_DI;NA;DE_Grau_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1998__Osnabrueck-Land__27sep1998__district-Grau;district-Grau;DE_NT-BT_1998;DE_NT-BT_1998__Osnabrueck-Land;DE_NT-BT_1998__Osnabrueck-Land__27sep1998;DE_DI;NA;DE_Grau_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Stadt-Hannover-I__02dec1990__district-Grau;district-Grau;DE_NT-BT_1990;DE_NT-BT_1990__Stadt-Hannover-I;DE_NT-BT_1990__Stadt-Hannover-I__02dec1990;DE_DI;NA;DE_Grau_RE-NI;NA;;;TRUE;TRUE
